Sezione elettorale,Destre Unite - Forconi,Il Popolo della Famiglia,Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Civica Popolare Lorenzin,Italia Europa Insieme,+ Europa,Partito Democratico,Sinistra Rivoluzionaria,Partito Comunista,CasaPound,Liberi e Uguali,Italia agli Italiani,Movimento 5 Stelle,Forza Italia,Unione di Centro,Lega Nord,Fratelli d'Italia,Totale Votanti,Totale Voti Non Validi
327,0,1,0,6,8,2,17,144,1,2,0,45,2,137,41,1,64,12,504,9
328,0,0,0,6,3,2,15,114,2,7,6,29,0,134,27,0,80,13,475,20
329,1,2,0,6,2,7,21,136,1,3,3,43,3,132,37,1,81,12,550,19
330,1,2,0,11,3,2,21,143,0,3,4,43,3,155,37,1,74,7,530,16
331,1,2,0,20,1,4,17,94,1,3,1,26,1,97,32,7,45,7,397,11
332,3,4,1,14,2,4,24,104,2,2,3,45,3,106,50,0,58,11,467,12
333,2,2,1,7,2,4,14,93,0,4,1,23,1,87,41,3,53,6,359,13
334,0,1,0,5,2,1,21,132,2,5,0,34,3,81,20,0,50,12,398,6
335,1,1,0,13,3,6,23,115,2,7,2,38,2,87,25,2,57,8,435,9
336,1,9,1,7,5,3,18,144,1,4,2,52,1,74,37,6,73,5,500,14
337,0,4,1,17,3,10,15,126,1,5,1,45,1,113,30,2,54,5,461,2
338,0,5,0,19,146,0,0,0,0,1,7,44,2,134,47,1,61,12,519,11
339,1,1,0,9,3,4,20,111,2,1,1,44,1,108,29,2,59,14,420,6
340,1,2,0,10,2,5,12,85,0,5,4,43,2,85,15,1,52,6,364,18
341,3,2,1,7,1,4,14,87,2,2,2,32,1,69,23,2,51,8,339,13
342,0,6,2,8,0,4,7,101,2,4,5,35,2,91,29,1,61,9,374,4
343,1,5,1,15,5,3,14,110,0,3,0,28,1,100,28,1,36,8,403,19
344,1,0,0,15,2,1,14,109,2,4,2,47,1,112,39,1,48,11,445,10
345,1,5,0,8,1,4,13,110,2,9,3,45,1,111,37,3,60,13,446,16
346,0,5,1,11,1,8,29,151,0,4,2,50,2,137,64,1,82,30,616,11
347,0,2,1,9,2,3,17,131,1,1,1,47,3,85,34,1,62,8,443,10
348,0,0,2,11,3,3,23,130,2,2,3,46,1,117,29,2,64,12,489,15
349,0,4,0,15,1,2,7,75,1,5,2,35,2,87,31,1,43,5,342,11
350,1,3,0,15,2,5,15,112,3,4,2,58,0,87,14,2,56,6,408,8
351,0,3,0,12,0,5,15,157,4,3,2,47,0,122,32,3,39,15,486,10
352,1,0,0,16,1,3,19,122,0,8,3,42,1,108,35,0,54,13,458,13
353,0,4,0,18,3,3,12,138,1,5,2,50,4,96,21,2,55,11,451,13
354,0,5,1,8,6,6,13,145,1,2,1,29,0,111,37,1,67,12,475,6
355,1,2,0,10,5,11,10,134,1,2,3,38,1,77,37,2,53,19,445,16
356,0,2,0,3,1,7,8,101,1,2,0,26,2,81,31,3,57,8,355,13
357,1,1,5,9,4,2,10,131,1,2,3,47,1,115,35,1,68,13,476,10
358,0,1,0,9,0,6,13,99,2,1,3,10,4,79,30,0,49,11,351,23
359,4,0,1,7,0,3,9,97,1,5,3,16,3,75,29,0,62,10,341,9
360,2,0,0,1,1,0,6,78,0,5,1,18,5,92,23,3,62,2,317,13
361,0,4,1,1,4,0,14,177,1,2,2,52,2,86,27,0,50,8,459,14
362,0,0,0,13,1,3,10,122,0,5,2,39,0,112,20,0,61,5,431,22
363,0,0,0,1,0,1,4,82,0,4,4,23,1,82,35,4,64,9,336,15
364,1,0,1,7,0,0,2,136,1,5,4,18,1,91,31,0,49,4,375,9
365,0,2,1,3,0,6,8,134,3,7,0,37,0,130,18,0,52,11,433,9
366,1,0,1,10,33,7,3,126,0,5,1,28,0,127,61,2,112,17,559,9
367,0,3,0,1,5,5,25,145,0,4,0,36,2,68,36,1,61,14,452,18
368,0,3,0,8,2,15,26,157,1,8,1,60,0,150,42,1,66,12,575,13
369,0,3,2,8,9,6,26,184,0,0,0,83,1,85,35,6,52,10,534,18
370,0,1,2,4,5,9,15,217,1,5,1,31,1,73,43,2,66,19,526,9
371,1,1,2,6,4,12,25,163,2,3,3,43,1,84,38,2,62,9,492,9
372,0,0,1,5,4,7,26,94,0,3,4,47,1,92,65,3,72,22,476,7
