Sezione elettorale,Movimento 5 Stelle,Il Popolo della Famiglia,Sinistra Rivoluzionaria,Partito Comunista,Civica Popolare Lorenzin,Partito Democratico,Italia Europa Insieme,+ Europa,Unione di Centro,Forza Italia,Lega Nord,Fratelli d'Italia,Italia agli Italiani,Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Liberi e Uguali,CasaPound,Totale Votanti,Totale Voti Non Validi
272,84,0,2,1,4,104,6,41,2,45,68,12,2,0,23,48,6,485,15
273,128,5,1,2,1,134,5,31,2,31,65,11,1,1,32,47,4,531,9
274,126,2,1,4,3,152,7,33,2,33,58,8,2,0,24,55,3,530,7
275,95,1,0,4,0,150,6,28,4,47,58,15,0,0,17,24,2,489,9
276,101,4,1,4,1,124,7,28,1,24,64,14,2,0,19,49,1,474,6
277,102,8,2,4,3,109,13,36,0,53,80,24,1,0,24,54,1,529,8
278,132,0,0,2,4,117,9,30,2,24,35,8,0,2,25,47,1,468,8
279,115,4,2,4,0,125,0,13,1,13,38,12,1,1,19,29,3,415,7
280,105,1,2,1,3,102,3,23,0,27,60,6,2,0,22,36,3,438,12
281,96,3,4,3,0,93,6,25,0,42,54,10,0,0,27,31,2,434,16
282,102,4,1,2,0,106,4,15,1,40,42,7,2,0,16,35,5,405,5
283,100,2,0,6,4,128,4,19,4,21,55,11,3,1,11,43,2,451,12
284,95,0,4,4,1,124,5,20,2,33,51,16,1,1,19,52,1,452,3
285,147,0,1,2,1,115,5,30,2,33,72,14,1,0,15,39,3,519,16
286,137,0,1,6,0,104,3,17,0,20,65,14,0,2,21,37,2,464,12
287,88,4,1,3,2,135,1,22,1,22,56,7,2,0,17,39,1,429,9
288,106,1,1,6,4,127,3,17,0,31,68,5,0,0,16,36,1,470,10
289,124,2,2,4,3,139,7,31,1,31,53,8,0,0,15,53,4,518,17
290,95,0,0,5,4,141,6,32,1,40,76,15,1,2,8,41,0,493,10
291,116,1,0,5,4,99,3,12,1,26,59,15,1,1,12,29,6,415,10
292,132,0,1,7,3,125,4,25,0,18,44,5,1,0,11,35,2,436,8
293,120,2,1,8,1,134,2,20,2,29,64,12,1,1,11,35,0,475,17
294,102,4,2,1,1,128,1,11,3,27,83,14,1,0,12,38,3,451,10
295,115,1,0,2,2,112,2,15,0,27,38,11,1,0,11,13,2,383,10
296,158,4,7,3,5,211,9,33,3,34,86,18,3,0,12,70,4,715,20
297,145,2,4,5,6,199,6,24,8,37,54,7,1,1,12,46,1,600,15
298,165,4,3,7,3,172,4,19,9,36,71,15,3,0,4,41,4,599,18
299,178,1,0,4,3,192,2,24,2,34,89,18,3,1,14,37,1,643,19
300,114,2,0,4,4,141,4,21,0,31,69,14,1,0,6,44,3,487,8
301,158,4,4,5,1,179,6,24,5,35,108,14,2,1,25,47,1,659,10
302,160,0,0,4,2,133,10,13,4,28,52,22,3,0,9,34,1,500,9
